Estadística de Defunciones según la Causa de Muerte
Suicidios. Resultados nacionales
Suicidios por mes de defunción, sexo y edad.
Unidades: suicidios

;Todas las edades;Menores de 15 años;De 15 a 29 años;De 30 a 39 años;De 40 a 44 años;De 45 a 49 años;De 50 a 54 años;De 55 a 59 años;De 60 a 64 años;De 65 a 69 años;De 70 a 74 años;De 75 a 79 años;De 80 a 84 años;De 85 a 89 años;De 90 a 94 años;De 95 años y más;
Todos los meses;
    Ambos sexos;3870.0;9.0;301.0;518.0;379.0;412.0;450.0;324.0;270.0;257.0;247.0;254.0;257.0;137.0;45.0;10.0;
    Hombres;2911.0;6.0;225.0;395.0;285.0;319.0;340.0;237.0;205.0;187.0;182.0;181.0;203.0;106.0;35.0;5.0;
    Mujeres;959.0;3.0;76.0;123.0;94.0;93.0;110.0;87.0;65.0;70.0;65.0;73.0;54.0;31.0;10.0;5.0;
enero;
    Ambos sexos;344.0;2.0;23.0;45.0;30.0;41.0;36.0;29.0;27.0;26.0;28.0;23.0;20.0;12.0;2.0;0.0;
    Hombres;250.0;0.0;15.0;31.0;20.0;32.0;29.0;20.0;20.0;19.0;23.0;13.0;16.0;10.0;2.0;0.0;
    Mujeres;94.0;2.0;8.0;14.0;10.0;9.0;7.0;9.0;7.0;7.0;5.0;10.0;4.0;2.0;0.0;0.0;
febrero;
    Ambos sexos;289.0;0.0;31.0;34.0;38.0;29.0;30.0;16.0;26.0;19.0;16.0;14.0;21.0;14.0;1.0;0.0;
    Hombres;224.0;0.0;20.0;27.0;30.0;25.0;23.0;13.0;19.0;13.0;12.0;8.0;20.0;13.0;1.0;0.0;
    Mujeres;65.0;0.0;11.0;7.0;8.0;4.0;7.0;3.0;7.0;6.0;4.0;6.0;1.0;1.0;0.0;0.0;
marzo;
    Ambos sexos;359.0;0.0;23.0;49.0;35.0;45.0;38.0;30.0;32.0;20.0;24.0;26.0;21.0;12.0;2.0;2.0;
    Hombres;266.0;0.0;18.0;36.0;27.0;35.0;28.0;23.0;26.0;14.0;15.0;22.0;12.0;9.0;0.0;1.0;
    Mujeres;93.0;0.0;5.0;13.0;8.0;10.0;10.0;7.0;6.0;6.0;9.0;4.0;9.0;3.0;2.0;1.0;
abril;
    Ambos sexos;324.0;2.0;27.0;46.0;31.0;36.0;42.0;32.0;26.0;20.0;17.0;21.0;15.0;7.0;2.0;0.0;
    Hombres;247.0;1.0;20.0;40.0;22.0;28.0;35.0;26.0;16.0;15.0;12.0;15.0;12.0;4.0;1.0;0.0;
    Mujeres;77.0;1.0;7.0;6.0;9.0;8.0;7.0;6.0;10.0;5.0;5.0;6.0;3.0;3.0;1.0;0.0;
mayo;
    Ambos sexos;335.0;0.0;19.0;43.0;36.0;41.0;38.0;31.0;19.0;29.0;24.0;17.0;23.0;11.0;3.0;1.0;
    Hombres;243.0;0.0;16.0;34.0;24.0;32.0;25.0;22.0;13.0;20.0;17.0;10.0;18.0;9.0;2.0;1.0;
    Mujeres;92.0;0.0;3.0;9.0;12.0;9.0;13.0;9.0;6.0;9.0;7.0;7.0;5.0;2.0;1.0;0.0;
junio;
    Ambos sexos;363.0;1.0;31.0;45.0;31.0;31.0;42.0;31.0;28.0;20.0;22.0;31.0;24.0;18.0;6.0;2.0;
    Hombres;280.0;1.0;26.0;34.0;24.0;25.0;34.0;19.0;21.0;15.0;16.0;25.0;19.0;14.0;6.0;1.0;
    Mujeres;83.0;0.0;5.0;11.0;7.0;6.0;8.0;12.0;7.0;5.0;6.0;6.0;5.0;4.0;0.0;1.0;
julio;
    Ambos sexos;357.0;0.0;26.0;46.0;40.0;41.0;39.0;26.0;29.0;25.0;17.0;22.0;27.0;8.0;9.0;2.0;
    Hombres;273.0;0.0;20.0;37.0;32.0;32.0;29.0;16.0;22.0;21.0;12.0;17.0;23.0;5.0;7.0;0.0;
    Mujeres;84.0;0.0;6.0;9.0;8.0;9.0;10.0;10.0;7.0;4.0;5.0;5.0;4.0;3.0;2.0;2.0;
agosto;
    Ambos sexos;308.0;2.0;19.0;52.0;27.0;29.0;39.0;24.0;17.0;21.0;17.0;22.0;24.0;11.0;4.0;0.0;
    Hombres;222.0;2.0;13.0;35.0;20.0;22.0;29.0;18.0;11.0;13.0;13.0;16.0;17.0;9.0;4.0;0.0;
    Mujeres;86.0;0.0;6.0;17.0;7.0;7.0;10.0;6.0;6.0;8.0;4.0;6.0;7.0;2.0;0.0;0.0;
septiembre;
    Ambos sexos;345.0;1.0;31.0;51.0;36.0;36.0;35.0;27.0;26.0;20.0;25.0;21.0;20.0;12.0;3.0;1.0;
    Hombres;274.0;1.0;27.0;39.0;26.0;29.0;26.0;21.0;23.0;15.0;22.0;13.0;18.0;11.0;2.0;1.0;
    Mujeres;71.0;0.0;4.0;12.0;10.0;7.0;9.0;6.0;3.0;5.0;3.0;8.0;2.0;1.0;1.0;0.0;
octubre;
    Ambos sexos;301.0;0.0;27.0;40.0;21.0;25.0;46.0;25.0;14.0;19.0;22.0;22.0;19.0;15.0;5.0;1.0;
    Hombres;229.0;0.0;17.0;32.0;17.0;14.0;38.0;22.0;11.0;17.0;14.0;18.0;15.0;10.0;4.0;0.0;
    Mujeres;72.0;0.0;10.0;8.0;4.0;11.0;8.0;3.0;3.0;2.0;8.0;4.0;4.0;5.0;1.0;1.0;
noviembre;
    Ambos sexos;259.0;1.0;19.0;30.0;26.0;31.0;31.0;23.0;11.0;17.0;16.0;21.0;20.0;11.0;2.0;0.0;
    Hombres;188.0;1.0;12.0;23.0;22.0;23.0;19.0;17.0;10.0;11.0;10.0;16.0;15.0;7.0;2.0;0.0;
    Mujeres;71.0;0.0;7.0;7.0;4.0;8.0;12.0;6.0;1.0;6.0;6.0;5.0;5.0;4.0;0.0;0.0;
diciembre;
    Ambos sexos;286.0;0.0;25.0;37.0;28.0;27.0;34.0;30.0;15.0;21.0;19.0;14.0;23.0;6.0;6.0;1.0;
    Hombres;215.0;0.0;21.0;27.0;21.0;22.0;25.0;20.0;13.0;14.0;16.0;8.0;18.0;5.0;4.0;1.0;
    Mujeres;71.0;0.0;4.0;10.0;7.0;5.0;9.0;10.0;2.0;7.0;3.0;6.0;5.0;1.0;2.0;0.0;
Notas:
Fuente: Instituto Nacional de Estadística
