Estadística de Defunciones según la Causa de Muerte
Suicidios. Resultados nacionales
Suicidios por mes de defunción, sexo y edad.
Unidades: suicidios

;Todas las edades;Menores de 15 años;De 15 a 29 años;De 30 a 39 años;De 40 a 44 años;De 45 a 49 años;De 50 a 54 años;De 55 a 59 años;De 60 a 64 años;De 65 a 69 años;De 70 a 74 años;De 75 a 79 años;De 80 a 84 años;De 85 a 89 años;De 90 a 94 años;De 95 años y más;
Todos los meses;
    Ambos sexos;3602.0;8.0;296.0;427.0;355.0;387.0;372.0;332.0;251.0;228.0;206.0;247.0;255.0;161.0;64.0;13.0;
    Hombres;2680.0;7.0;218.0;332.0;259.0;276.0;279.0;251.0;176.0;166.0;143.0;178.0;205.0;131.0;50.0;9.0;
    Mujeres;922.0;1.0;78.0;95.0;96.0;111.0;93.0;81.0;75.0;62.0;63.0;69.0;50.0;30.0;14.0;4.0;
enero;
    Ambos sexos;276.0;2.0;16.0;29.0;26.0;26.0;28.0;32.0;16.0;18.0;21.0;16.0;29.0;8.0;7.0;2.0;
    Hombres;204.0;2.0;13.0;20.0;20.0;19.0;18.0;24.0;13.0;13.0;16.0;10.0;24.0;5.0;5.0;2.0;
    Mujeres;72.0;0.0;3.0;9.0;6.0;7.0;10.0;8.0;3.0;5.0;5.0;6.0;5.0;3.0;2.0;0.0;
febrero;
    Ambos sexos;270.0;0.0;28.0;26.0;19.0;30.0;24.0;28.0;14.0;17.0;15.0;25.0;18.0;16.0;7.0;3.0;
    Hombres;197.0;0.0;25.0;15.0;14.0;25.0;17.0;16.0;12.0;12.0;12.0;14.0;14.0;13.0;6.0;2.0;
    Mujeres;73.0;0.0;3.0;11.0;5.0;5.0;7.0;12.0;2.0;5.0;3.0;11.0;4.0;3.0;1.0;1.0;
marzo;
    Ambos sexos;367.0;0.0;30.0;57.0;34.0;38.0;30.0;45.0;19.0;24.0;22.0;15.0;31.0;16.0;6.0;0.0;
    Hombres;264.0;0.0;24.0;44.0;25.0;24.0;26.0;30.0;10.0;17.0;11.0;10.0;26.0;12.0;5.0;0.0;
    Mujeres;103.0;0.0;6.0;13.0;9.0;14.0;4.0;15.0;9.0;7.0;11.0;5.0;5.0;4.0;1.0;0.0;
abril;
    Ambos sexos;287.0;1.0;23.0;30.0;30.0;37.0;29.0;25.0;18.0;19.0;20.0;24.0;17.0;11.0;2.0;1.0;
    Hombres;217.0;1.0;18.0;25.0;21.0;24.0;21.0;18.0;13.0;14.0;14.0;22.0;13.0;11.0;2.0;0.0;
    Mujeres;70.0;0.0;5.0;5.0;9.0;13.0;8.0;7.0;5.0;5.0;6.0;2.0;4.0;0.0;0.0;1.0;
mayo;
    Ambos sexos;331.0;2.0;27.0;37.0;29.0;33.0;34.0;35.0;25.0;29.0;18.0;18.0;13.0;21.0;9.0;1.0;
    Hombres;248.0;2.0;22.0;27.0;21.0;20.0;30.0;27.0;15.0;22.0;13.0;13.0;11.0;16.0;8.0;1.0;
    Mujeres;83.0;0.0;5.0;10.0;8.0;13.0;4.0;8.0;10.0;7.0;5.0;5.0;2.0;5.0;1.0;0.0;
junio;
