Estadística de Defunciones según la Causa de Muerte
Suicidios. Resultados nacionales
Suicidios por mes de defunción, sexo y edad.
Unidades: suicidios

;Todas las edades;Menores de 15 años;De 15 a 29 años;De 30 a 39 años;De 40 a 44 años;De 45 a 49 años;De 50 a 54 años;De 55 a 59 años;De 60 a 64 años;De 65 a 69 años;De 70 a 74 años;De 75 a 79 años;De 80 a 84 años;De 85 a 89 años;De 90 a 94 años;De 95 años y más;
Todos los meses;
    Ambos sexos;3569.0;12.0;247.0;456.0;355.0;349.0;377.0;323.0;270.0;263.0;212.0;236.0;231.0;143.0;79.0;16.0;
    Hombres;2662.0;8.0;180.0;346.0;275.0;266.0;288.0;242.0;191.0;175.0;154.0;178.0;181.0;106.0;60.0;12.0;
    Mujeres;907.0;4.0;67.0;110.0;80.0;83.0;89.0;81.0;79.0;88.0;58.0;58.0;50.0;37.0;19.0;4.0;
enero;
    Ambos sexos;301.0;1.0;25.0;41.0;33.0;28.0;29.0;28.0;20.0;24.0;13.0;19.0;19.0;14.0;6.0;1.0;
    Hombres;221.0;0.0;17.0;29.0;22.0;23.0;23.0;19.0;15.0;15.0;12.0;13.0;15.0;11.0;6.0;1.0;
    Mujeres;80.0;1.0;8.0;12.0;11.0;5.0;6.0;9.0;5.0;9.0;1.0;6.0;4.0;3.0;0.0;0.0;
febrero;
    Ambos sexos;283.0;1.0;16.0;30.0;28.0;32.0;30.0;28.0;24.0;21.0;19.0;24.0;13.0;10.0;6.0;1.0;
    Hombres;225.0;0.0;14.0;23.0;22.0;27.0;20.0;23.0;19.0;17.0;15.0;22.0;10.0;7.0;5.0;1.0;
    Mujeres;58.0;1.0;2.0;7.0;6.0;5.0;10.0;5.0;5.0;4.0;4.0;2.0;3.0;3.0;1.0;0.0;
marzo;
    Ambos sexos;289.0;2.0;24.0;34.0;27.0;37.0;32.0;22.0;23.0;25.0;18.0;18.0;16.0;5.0;5.0;1.0;
    Hombres;212.0;2.0;19.0;28.0;22.0;22.0;26.0;16.0;17.0;16.0;13.0;11.0;12.0;5.0;2.0;1.0;
    Mujeres;77.0;0.0;5.0;6.0;5.0;15.0;6.0;6.0;6.0;9.0;5.0;7.0;4.0;0.0;3.0;0.0;
abril;
    Ambos sexos;292.0;0.0;13.0;48.0;36.0;24.0;36.0;15.0;29.0;21.0;12.0;19.0;22.0;10.0;7.0;0.0;
    Hombres;226.0;0.0;12.0;34.0;27.0;20.0;31.0;14.0;20.0;15.0;9.0;11.0;21.0;6.0;6.0;0.0;
    Mujeres;66.0;0.0;1.0;14.0;9.0;4.0;5.0;1.0;9.0;6.0;3.0;8.0;1.0;4.0;1.0;0.0;
mayo;
    Ambos sexos;320.0;1.0;20.0;36.0;35.0;25.0;41.0;25.0;25.0;29.0;18.0;22.0;22.0;12.0;6.0;3.0;
    Hombres;253.0;1.0;14.0;30.0;28.0;20.0;35.0;20.0;19.0;21.0;12.0;19.0;17.0;11.0;4.0;2.0;
    Mujeres;67.0;0.0;6.0;6.0;7.0;5.0;6.0;5.0;6.0;8.0;6.0;3.0;5.0;1.0;2.0;1.0;
junio;
    Ambos sexos;328.0;1.0;23.0;42.0;38.0;29.0;36.0;33.0;22.0;23.0;24.0;23.0;17.0;13.0;4.0;0.0;
    Hombres;253.0;1.0;18.0;33.0;33.0;24.0;25.0;24.0;19.0;17.0;17.0;17.0;14.0;9.0;2.0;0.0;
    Mujeres;75.0;0.0;5.0;9.0;5.0;5.0;11.0;9.0;3.0;6.0;7.0;6.0;3.0;4.0;2.0;0.0;
julio;
    Ambos sexos;311.0;3.0;23.0;36.0;25.0;35.0;23.0;31.0;22.0;23.0;14.0;31.0;27.0;8.0;7.0;3.0;
    Hombres;222.0;1.0;15.0;26.0;19.0;27.0;19.0;22.0;12.0;15.0;9.0;26.0;23.0;3.0;5.0;0.0;
    Mujeres;89.0;2.0;8.0;10.0;6.0;8.0;4.0;9.0;10.0;8.0;5.0;5.0;4.0;5.0;2.0;3.0;
agosto;
    Ambos sexos;321.0;0.0;20.0;41.0;28.0;22.0;38.0;30.0;26.0;21.0;26.0;19.0;27.0;15.0;6.0;2.0;
    Hombres;229.0;0.0;12.0;31.0;23.0;14.0;25.0;23.0;20.0;12.0;18.0;15.0;18.0;12.0;4.0;2.0;
    Mujeres;92.0;0.0;8.0;10.0;5.0;8.0;13.0;7.0;6.0;9.0;8.0;4.0;9.0;3.0;2.0;0.0;
septiembre;
    Ambos sexos;311.0;0.0;22.0;47.0;21.0;25.0;28.0;37.0;28.0;24.0;14.0;23.0;17.0;12.0;11.0;2.0;
    Hombres;230.0;0.0;18.0;34.0;16.0;20.0;22.0;26.0;23.0;16.0;8.0;17.0;9.0;10.0;9.0;2.0;
    Mujeres;81.0;0.0;4.0;13.0;5.0;5.0;6.0;11.0;5.0;8.0;6.0;6.0;8.0;2.0;2.0;0.0;
octubre;
    Ambos sexos;269.0;1.0;22.0;26.0;30.0;24.0;36.0;28.0;14.0;16.0;21.0;16.0;16.0;11.0;7.0;1.0;
    Hombres;196.0;1.0;14.0;21.0;22.0;15.0;30.0;18.0;7.0;9.0;16.0;14.0;13.0;9.0;6.0;1.0;
    Mujeres;73.0;0.0;8.0;5.0;8.0;9.0;6.0;10.0;7.0;7.0;5.0;2.0;3.0;2.0;1.0;0.0;
noviembre;
    Ambos sexos;251.0;1.0;17.0;36.0;28.0;31.0;24.0;23.0;18.0;14.0;10.0;6.0;20.0;17.0;6.0;0.0;
    Hombres;190.0;1.0;12.0;26.0;23.0;25.0;20.0;19.0;9.0;9.0;9.0;3.0;17.0;12.0;5.0;0.0;
    Mujeres;61.0;0.0;5.0;10.0;5.0;6.0;4.0;4.0;9.0;5.0;1.0;3.0;3.0;5.0;1.0;0.0;
diciembre;
