Estadística de Defunciones según la Causa de Muerte
Suicidios. Resultados nacionales
Suicidios por mes de defunción, sexo y edad.
Unidades: suicidios

;Todas las edades;Menores de 15 años;De 15 a 29 años;De 30 a 39 años;De 40 a 44 años;De 45 a 49 años;De 50 a 54 años;De 55 a 59 años;De 60 a 64 años;De 65 a 69 años;De 70 a 74 años;De 75 a 79 años;De 80 a 84 años;De 85 a 89 años;De 90 a 94 años;De 95 años y más;
Todos los meses;
    Ambos sexos;3910.0;10.0;319.0;504.0;386.0;457.0;438.0;313.0;268.0;256.0;215.0;246.0;232.0;189.0;69.0;8.0;
    Hombres;2938.0;4.0;239.0;375.0;293.0;337.0;344.0;236.0;190.0;175.0;158.0;194.0;184.0;152.0;50.0;7.0;
    Mujeres;972.0;6.0;80.0;129.0;93.0;120.0;94.0;77.0;78.0;81.0;57.0;52.0;48.0;37.0;19.0;1.0;
enero;
    Ambos sexos;339.0;2.0;32.0;45.0;24.0;34.0;38.0;27.0;25.0;25.0;16.0;23.0;28.0;12.0;6.0;2.0;
    Hombres;279.0;1.0;29.0;35.0;23.0;28.0;30.0;23.0;23.0;17.0;14.0;16.0;22.0;10.0;6.0;2.0;
    Mujeres;60.0;1.0;3.0;10.0;1.0;6.0;8.0;4.0;2.0;8.0;2.0;7.0;6.0;2.0;0.0;0.0;
febrero;
    Ambos sexos;293.0;0.0;24.0;47.0;28.0;34.0;28.0;34.0;11.0;26.0;9.0;14.0;22.0;13.0;3.0;0.0;
    Hombres;227.0;0.0;18.0;34.0;23.0;26.0;24.0;25.0;10.0;15.0;6.0;14.0;18.0;11.0;3.0;0.0;
    Mujeres;66.0;0.0;6.0;13.0;5.0;8.0;4.0;9.0;1.0;11.0;3.0;0.0;4.0;2.0;0.0;0.0;
marzo;
    Ambos sexos;318.0;1.0;32.0;39.0;29.0;40.0;39.0;30.0;19.0;17.0;13.0;23.0;15.0;16.0;5.0;0.0;
    Hombres;226.0;0.0;18.0;26.0;21.0;30.0;30.0;23.0;12.0;11.0;8.0;18.0;13.0;13.0;3.0;0.0;
    Mujeres;92.0;1.0;14.0;13.0;8.0;10.0;9.0;7.0;7.0;6.0;5.0;5.0;2.0;3.0;2.0;0.0;
abril;
    Ambos sexos;338.0;3.0;30.0;40.0;27.0;33.0;30.0;20.0;32.0;27.0;27.0;17.0;22.0;19.0;10.0;1.0;
    Hombres;241.0;0.0;15.0;30.0;22.0;22.0;27.0;12.0;16.0;23.0;24.0;10.0;18.0;15.0;6.0;1.0;
    Mujeres;97.0;3.0;15.0;10.0;5.0;11.0;3.0;8.0;16.0;4.0;3.0;7.0;4.0;4.0;4.0;0.0;
mayo;
