Estadística de Defunciones según la Causa de Muerte
Suicidios. Resultados nacionales
Suicidios por mes de defunción, sexo y edad.
Unidades: nº de suicidios

;Todas las edades;Menores de 15 años;De 15 a 29 años;De 30 a 39 años;De 40 a 44 años;De 45 a 49 años;De 50 a 54 años;De 55 a 59 años;De 60 a 64 años;De 65 a 69 años;De 70 a 74 años;De 75 a 79 años;De 80 a 84 años;De 85 a 89 años;De 90 a 94 años;De 95 años y más;
Todos los meses;
    Ambos sexos;3246.0;5.0;374.0;558.0;275.0;280.0;226.0;222.0;228.0;181.0;262.0;240.0;232.0;113.0;40.0;10.0;
    Varones;2512.0;2.0;303.0;446.0;219.0;217.0;158.0;171.0;171.0;139.0;195.0;187.0;180.0;83.0;32.0;9.0;
    Mujeres;734.0;3.0;71.0;112.0;56.0;63.0;68.0;51.0;57.0;42.0;67.0;53.0;52.0;30.0;8.0;1.0;
enero;
    Ambos sexos;264.0;0.0;37.0;56.0;17.0;18.0;20.0;17.0;16.0;13.0;28.0;19.0;14.0;6.0;3.0;0.0;
    Varones;201.0;0.0;32.0;44.0;12.0;13.0;16.0;13.0;9.0;12.0;21.0;13.0;11.0;2.0;3.0;0.0;
    Mujeres;63.0;0.0;5.0;12.0;5.0;5.0;4.0;4.0;7.0;1.0;7.0;6.0;3.0;4.0;0.0;0.0;
febrero;
    Ambos sexos;221.0;1.0;20.0;42.0;18.0;20.0;22.0;16.0;18.0;12.0;19.0;11.0;10.0;4.0;8.0;0.0;
    Varones;169.0;0.0;17.0;32.0;14.0;16.0;16.0;14.0;16.0;8.0;14.0;5.0;9.0;1.0;7.0;0.0;
    Mujeres;52.0;1.0;3.0;10.0;4.0;4.0;6.0;2.0;2.0;4.0;5.0;6.0;1.0;3.0;1.0;0.0;
marzo;
    Ambos sexos;289.0;0.0;33.0;52.0;21.0;23.0;20.0;20.0;18.0;16.0;21.0;25.0;24.0;11.0;4.0;1.0;
    Varones;229.0;0.0;28.0;46.0;15.0;18.0;12.0;14.0;14.0;12.0;17.0;20.0;23.0;8.0;2.0;0.0;
    Mujeres;60.0;0.0;5.0;6.0;6.0;5.0;8.0;6.0;4.0;4.0;4.0;5.0;1.0;3.0;2.0;1.0;
abril;
    Ambos sexos;285.0;0.0;36.0;51.0;26.0;26.0;19.0;21.0;19.0;10.0;22.0;19.0;20.0;13.0;2.0;1.0;
    Varones;217.0;0.0;27.0;38.0;22.0;18.0;10.0;17.0;14.0;8.0;19.0;16.0;15.0;11.0;1.0;1.0;
    Mujeres;68.0;0.0;9.0;13.0;4.0;8.0;9.0;4.0;5.0;2.0;3.0;3.0;5.0;2.0;1.0;0.0;
mayo;
