Estadística de Defunciones según la Causa de Muerte
Suicidios. Resultados nacionales
Suicidios por mes de defunción, sexo y edad.
Unidades: suicidios

;Todas las edades;Menores de 15 años;De 15 a 29 años;De 30 a 39 años;De 40 a 44 años;De 45 a 49 años;De 50 a 54 años;De 55 a 59 años;De 60 a 64 años;De 65 a 69 años;De 70 a 74 años;De 75 a 79 años;De 80 a 84 años;De 85 a 89 años;De 90 a 94 años;De 95 años y más;
Todos los meses;
    Ambos sexos;3158.0;3.0;239.0;500.0;345.0;310.0;311.0;235.0;221.0;199.0;187.0;229.0;187.0;136.0;47.0;9.0;
    Hombres;2468.0;3.0;196.0;403.0;262.0;238.0;243.0;179.0;168.0;147.0;141.0;177.0;158.0;109.0;38.0;6.0;
    Mujeres;690.0;0.0;43.0;97.0;83.0;72.0;68.0;56.0;53.0;52.0;46.0;52.0;29.0;27.0;9.0;3.0;
enero;
    Ambos sexos;270.0;0.0;22.0;34.0;25.0;25.0;34.0;26.0;20.0;23.0;14.0;20.0;11.0;9.0;5.0;2.0;
    Hombres;223.0;0.0;21.0;27.0;22.0;21.0;29.0;18.0;18.0;16.0;12.0;14.0;10.0;8.0;5.0;2.0;
    Mujeres;47.0;0.0;1.0;7.0;3.0;4.0;5.0;8.0;2.0;7.0;2.0;6.0;1.0;1.0;0.0;0.0;
febrero;
    Ambos sexos;227.0;0.0;9.0;32.0;30.0;24.0;19.0;11.0;22.0;19.0;12.0;23.0;11.0;12.0;3.0;0.0;
    Hombres;170.0;0.0;9.0;26.0;25.0;12.0;16.0;8.0;15.0;14.0;10.0;17.0;10.0;6.0;2.0;0.0;
    Mujeres;57.0;0.0;0.0;6.0;5.0;12.0;3.0;3.0;7.0;5.0;2.0;6.0;1.0;6.0;1.0;0.0;
marzo;
    Ambos sexos;293.0;0.0;28.0;48.0;33.0;38.0;35.0;18.0;20.0;15.0;14.0;16.0;16.0;9.0;3.0;0.0;
    Hombres;235.0;0.0;21.0;40.0;24.0;33.0;26.0;11.0;15.0;14.0;11.0;13.0;16.0;8.0;3.0;0.0;
